@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
5.0,8,2,2150,1,0,1,0,4,0.402,66.8,0,13,6,0,0,2
5.0,16,2,2000,1,0,0,0,4,0.42,73.66,1,13,6,0,0,2
5.0,8,1,2540,1,0,0,0,4,0.443,71.91,1,8,6,0,0,2
5.0,16,2,2500,1,0,1,0,4,0.920,65.89,1,8,6,0,0,2
5.0,8,2,2000,1,0,0,0,4,0.264,72.72,1,13,7,0,0,2
5.0,16,2,2400,1,0,1,0,4,0.291,66.61,0,13,6,0,0,2
5.0,8,1,2540,1,0,1,0,4,0.333,66.47,0,8,6,0,0,2
5.0,16,2,2070,2,0,0,0,4,0.362,67.18,1,8,6,0,0,2
5.0,16,1,2300,1,0,0,0,4,0.476,67.89,1,13,7,0,0,2
5.0,16,1,2400,2,0,1,0,4,0.633,68.56,1,8,6,0,0,2
5.0,16,2,2100,2,0,0,0,8,0.74,69.53,1,13,6,0,0,2
5.0,8,1.5,2600,2,0,0,0,4,0.755,68.21,1,8,6,0,0,2
5.0,8,1,2600,1,0,1,0,4,0.933,66.66,1,8,5,0,0,2
5.0,8,1,2600,2,0,1,0,4,0.933,66.66,1,8,5,0,0,2
5.0,16,3,2200,2,0,1,0,4,0.318,68.36,0,13,6,1,1,2
5.0,16,2,2000,1,0,1,0,4,0.319,70.58,0,13,7,0,0,2
5.0,8,1.5,2600,1,0,1,0,4,0.477,68.21,1,8,6,0,0,2
5.0,8,1.5,2600,2,0,1,0,4,0.477,68.21,1,8,6,0,0,2
5.0,16,1,2100,2,0,0,0,4,0.54,68.46,1,13,7,0,0,2
5.0,16,1,1830,2,0,0,0,4,0.678,68.31,1,13,6,0,0,2
5.0,16,2,2460,1,0,1,0,4,0.841,68.41,0,13,6,1,1,2
5.0,16,2,2400,1,0,1,0,8,0.926,66.66,0,13,6,0,0,2
5.0,16,2,2200,1,0,1,0,4,0.231,69.83,0,13,6,0,0,2
5.0,16,2,2500,2,0,1,0,4,0.288,70.33,1,13,6,0,0,2
5.0,16,2,2500,1,0,1,0,4,0.288,70.33,1,13,6,0,0,2
5.0,8,1,4100,2,0,1,1,2,0.289,67.36,0,8,6,0,0,2
5.0,16,1.5,2400,1,0,0,0,4,0.390,69.24,0,8,6,0,0,2
5.0,16,1.5,2400,2,0,0,0,4,0.390,69.24,0,8,6,0,0,2
5.0,16,1.5,2600,2,0,1,0,4,0.513,66.29,1,8,5,0,0,2
5.0,16,2,4000,2,0,1,0,8,0.554,67.6,0,13,6,0,0,2
5.0,16,2,2500,2,0,0,0,8,0.66,71.04,0,13,7,0,0,2
5.0,16,2,2300,1,0,0,0,8,0.243,67.71,0,13,7,0,0,2
5.0,16,3,3050,2,0,1,0,8,0.281,67.88,0,8,6,1,1,2
5.0,16,2,2500,2,0,1,0,4,0.288,70.33,1,13,6,0,0,2
5.0,16,2,2500,1,0,1,0,4,0.288,70.33,1,13,6,0,0,2
5.0,16,1.5,2400,1,0,1,0,4,0.390,69.24,0,8,6,0,0,2
5.0,32,2,2300,1,0,0,0,4,0.476,67.89,1,13,7,0,0,2
5.0,16,1.5,2600,1,0,1,0,4,0.513,66.29,1,8,5,0,0,2
5.0,16,2,2500,1,0,0,0,8,0.66,71.04,0,13,7,0,0,2
5.0,16,2,2500,2,0,0,0,8,0.75,71.04,1,13,7,0,0,2
5.0,16,2,4000,1,0,1,1,2,0.882,68.08,0,8,6,0,0,2
5.0,16,2,4000,2,0,1,1,2,0.882,68.08,0,8,6,0,0,2
5.0,16,2,2250,2,0,1,0,8,1.45,68.36,0,13,6,1,1,2
5.0,32,3,2350,2,0,1,0,8,0.328,70.34,0,13,6,0,0,2
5.0,16,1.5,2300,1,0,1,0,4,0.458,69.36,0,13,6,0,0,2
5.0,16,1,2200,1,0,1,0,4,0.46,69.93,1,10,6,0,0,2
5.0,16,2,2630,1,0,1,0,4,0.484,67.31,0,8,6,0,0,2
5.0,16,2,2750,1,0,1,0,8,0.669,68.36,1,13,6,0,0,2
5.0,32,2,2150,1,0,0,0,8,0.80,69.83,0,13,7,0,0,2
5.0,16,2,2600,2,0,1,0,4,0.426,67.98,1,8,6,0,0,2
5.0,32,2,2300,2,0,1,0,4,0.475,65.84,0,13,6,0,0,2
5.0,32,2,2300,1,0,1,0,4,0.475,65.84,0,13,6,0,0,2
5.0,32,2,2300,1,0,1,0,8,0.339,71.66,0,13,7,0,0,2
5.0,16,2,2500,1,0,1,0,8,0.348,68.65,0,13,6,0,0,2
5.0,32,3,2250,2,0,1,0,8,1.166,68.36,0,13,6,1,1,2
5.0,16,2,2600,1,0,0,0,4,0.285,72.28,1,13,7,0,0,2
5.0,16,2,4100,2,0,1,0,8,0.485,71.09,0,13,6,0,0,2
5.0,32,2,2500,1,0,1,0,4,0.287,68.53,0,8,7,0,0,2
5.0,16,2,2800,1,0,1,1,2,0.611,64.31,1,13,6,0,0,2
5.0,32,3,3000,1,0,1,0,4,0.962,67.13,1,13,6,1,1,2
